company_name,entry_region,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2,2017Q3
1010DATA SERVICES LLC_US,Americas,365831.57,662458.97,562394.8,583936.52,458677.48,583542.93,457400.77,623560.21,665626.86,963247.59,854793.67
1010DATA SERVICES LLC_US,APAC,18.65,0,0,0,0,0,921.3,0,0,457.71,0
1010DATA SERVICES LLC_US,EMEA,10753.85,9070.36,8746.34,309.9,0,4959.14,11672.23,2430.1,1808.75,3873.77,67.62
"1-800 CONTACTS, INC.",Americas,667631.94,664041.69,701156.06,706091.76,634370.16,591723.15,639419.99,795796.21,486446.68,629214.38,582043.9
"1-800 CONTACTS, INC.",APAC,0,0,0,438.04,263.17,0,0,272.81,67.05,0,0
"1-800 CONTACTS, INC.",EMEA,4661.94,0,2659.16,154.37,0,3125.5,465.93,326.2,194.09,0,0
19 ENTERTAINMENT INC,Americas,135841.33,158323.29,143872.19,129566.47,111342.02,121183.26,127670.98,129619.64,88544.27,40743.98,24617.62
19 ENTERTAINMENT INC,APAC,0,0,0,0,0,0,0,8074.66,200.42,0,0
19 ENTERTAINMENT INC,EMEA,749.07,4576.96,71.04,163.63,0,0,15.08,155.58,0,0,0
1ST FRANKLIN FINANCIAL CORPORATION,Americas,229705.39,240554.72,286650.77,218720.94,344440.92,264396.77,289038.59,245862.84,293210,417511.76,356632.09
21ST CENTURY FOX (FKA FOX NETWORK GROUP),Americas,6450014.17,7388897.76,5982534.97,7060985.87,7256890.14,8316695.96,7257450.65,8737961.81,9793614.44,10700097.09,9465244.09
21ST CENTURY FOX (FKA FOX NETWORK GROUP),APAC,11575.72,9268.31,22194.78,44644.65,6956.61,61750.28,34108.4,43535.77,49844.21,109123.33,74297.1
21ST CENTURY FOX (FKA FOX NETWORK GROUP),EMEA,162483.68,206496.99,209919.05,171743.17,163607.09,331326.01,234839.54,417206.57,271478.35,341485.55,324646.9
21ST CENTURY FOX (FKA FOX NETWORK GROUP),NULL,969.78,230.82,218.49,993.68,204.43,1087.28,10811.51,5090.08,11502.42,3821.6,7753.86
24/7 REAL MEDIA INC,Americas,429245.97,719514.79,574139.84,773855.37,453114.32,473438.12,492140.07,578841.2,398375.53,305931.56,285731.6
24/7 REAL MEDIA INC,APAC,1889.51,4250.09,9518.41,532.39,4901.33,2370.13,12132.15,3176.23,675.11,4278.79,4184.64
24/7 REAL MEDIA INC,EMEA,9161.26,33104.85,44653.58,19867.12,14227.26,31183.61,13271.74,18687.25,17906.68,9971.55,14652.94
2ND WATCH,Americas,247465.23,426668.04,498549.32,527673.13,391377.44,423985.1,464696.31,620664.88,497399.83,571610.03,510655.3
2ND WATCH,APAC,0,69.88,0,3806.47,3862.23,0,0,2213.52,0,2160.63,1840.54
2ND WATCH,EMEA,669.13,235.7,0,2641.21,778.4,7.16,0,0,75.98,250.48,0
365 OPERATING COMPANY LLC,Americas,237989.01,183652.97,178863.76,166304.18,189381.8,161124.91,105623,131829.55,85812.13,82477.64,86481.62
3CINTERACTIVE CORP,Americas,91627.47,88393.93,116193.93,101786.11,100708.13,96818.14,83425.84,88711.29,124573.07,93323.62,105236.46
3CINTERACTIVE CORP,EMEA,0,0,57.17,0,0,0,1710.51,0,0,2005.16,0
"3M TOUCH SYSTEMS, INC.",Americas,83860.95,78578.67,87411.17,82974.25,72282.64,74821.07,54252.33,66243.74,97202.78,88890.95,72630.28
"3M TOUCH SYSTEMS, INC.",APAC,7624.79,14012.09,11564.29,12993.04,17275.61,5089.35,1417.73,13712.55,20758.66,3516.5,1664.83
"3M TOUCH SYSTEMS, INC.",EMEA,0,0,0,0,1171.55,3122.53,116.13,0,1843.82,2388.72,0
"3M TOUCH SYSTEMS, INC.",NULL,0,0,0,0,0,0,426.51,0,0,0,0
3P LEARNING PTY LTD,Americas,23795.05,30286.5,32680.18,33444.46,35660.77,44251.53,29180.5,41122.37,20812.74,23553.67,18386.46
3P LEARNING PTY LTD,APAC,32675.33,23291.24,41481.32,61386.78,58778.69,32531.57,35173.54,24208.81,6610.23,23538.04,12293.41
3P LEARNING PTY LTD,EMEA,0,0,0,0,0,346.8,1560.66,2023,0,2251.75,0
47 BRAND,Americas,281556.86,288317.26,287505.88,382510.23,364033.79,378860.57,503417.39,455758.44,468739.42,489337.22,586698.72
47 BRAND,APAC,3616.05,0,25.14,0,2921.03,20.8,2244.91,886.8,0,0,2428.55
47 BRAND,EMEA,0,0,0,0,2705.98,2927.36,1697.88,1650.69,804.16,2704.23,860.41
4NET TECHNOLOGIES LTD,Americas,15.27,15.18,20.34,15.2,5.06,15.16,15.32,25.43,205.83,1036.82,56.53
4NET TECHNOLOGIES LTD,EMEA,56091.78,38953.52,59082.6,48164.47,54162.75,58250.74,48819.42,49078.07,66413.69,44270.52,71914.06
"638 BREWING COMPANY, INC.",Americas,44352.37,41592.45,46472.34,50241.26,60099.86,70880.61,71524.66,55691.9,73339.17,59149.72,66818.42
"638 BREWING COMPANY, INC.",EMEA,0,0,15.52,0,0,0,0,0,0,0,0
"8X8, INC.",Americas,419473.98,564183.02,561137.7,641708.17,606861.27,711352.96,785786.38,993125.38,1011341.13,1269918.5,1115786.29
"8X8, INC.",APAC,0,0,6365.71,19592.28,23605.19,20011.83,22225.66,57235.19,28321.45,54622.11,14592.93
"8X8, INC.",EMEA,2885.5,21966.95,16737.56,45882.5,29138.48,33078.47,18661.03,54353.53,48672.65,60682.4,77134.39
95 PERCENT GROUP_US,Americas,69186.59,67874.29,123354.34,175690.55,187773.38,134075.99,180063.12,212382.34,207956.94,158685.14,144432.7
A & D ENGINEERING,Americas,143895.7,143282.24,148596.19,122022.62,162008.67,139539.95,111210.95,144381.12,150653.32,190090.3,183026.12
A & D ENGINEERING,APAC,1046.55,0,10905.33,2643.95,299.83,4179.74,5068.67,4937.84,2412.71,4270.71,4445.66
A & D ENGINEERING,EMEA,0,11.66,0,0,0,0,0,23.4,0,0,0
"A BOX 4 U, LLC",Americas,559010.41,561969.35,464295.56,617066.79,538980.51,536934.05,516288.61,453268.77,412776.2,367337.76,433614.32
"A BOX 4 U, LLC",APAC,0,748.91,0,0,159.72,882.87,0,0,0,0,0
"A BOX 4 U, LLC",EMEA,12549.12,0,0,15043.96,0,3493.6,0,7367.15,5087.43,1770.05,1190.31
A J WALTER AVIATION LTD,Americas,113607.17,184707.43,141681.83,99331.2,66258.62,137356.21,115934.79,120684.67,81044.28,71325.25,92675.59
A J WALTER AVIATION LTD,APAC,35017.11,32667.67,12316.66,22695.3,24504.07,12401.4,1936.21,7263.06,4224.89,10734.89,6776.03
A J WALTER AVIATION LTD,EMEA,253365.13,296555.7,205464.27,313619.01,170953.47,218760.72,181169.01,194564.85,169172.48,219125.68,183057.77
A J WALTER AVIATION LTD,NULL,0,1489.05,0,5221.97,0,0,0,521.01,0,361.13,0
A M CASTLE & CO,Americas,477866.86,730327.37,715641.08,726755.91,484261.88,499345.23,435920.1,634373.14,362525.31,526309.84,494379.55
A M CASTLE & CO,APAC,11817.27,187613.93,94727.73,77372.24,-0.54,5856.6,6577.46,3669.45,5413.5,2411.92,196.25
A M CASTLE & CO,EMEA,5914.07,8839.2,8074.04,6281.8,1529.11,1087.75,5273.13,14140.05,2258.89,2427.13,17697.98
A M CASTLE & CO,NULL,19,60.89,246.73,3169.88,0,11.76,31.43,50.11,0,0,442.95
"A W S CONVERGENCE TECHNOLOGIES, INC",Americas,423924.52,376227.31,334937.59,408503.37,367682.3,388404.74,430951.77,340114.33,390006.53,342105.9,290315.69
"A W S CONVERGENCE TECHNOLOGIES, INC",APAC,72.38,2325.49,1219.62,7.85,1014.78,4418.31,0,848.97,584.42,4854.89,2805.02
"A W S CONVERGENCE TECHNOLOGIES, INC",EMEA,277.23,2695.57,540.42,676.13,198.25,1445.13,1237.46,4096.92,1600.71,0,1185.07
"A W S CONVERGENCE TECHNOLOGIES, INC",NULL,23.14,1502.97,467.51,587.22,0,249.29,0,694.26,0,130.24,60.61
"A&E TELEVISION NETWORKS, LLC",Americas,1972631.97,2215498.67,2440630.15,2566453.39,2474286.81,2728379.6,2315280.74,2247905.42,2283342.03,2576579.2,2812199.58
"A&E TELEVISION NETWORKS, LLC",APAC,18071.81,9332.75,6331.96,14083.81,14857.6,5165.45,14004.68,11999.66,11811.54,15096.87,39153.86
"A&E TELEVISION NETWORKS, LLC",EMEA,212258.5,302964.04,201062.36,326125.53,366794.96,436584.86,365019.42,292318.65,183850.32,267144.71,211893.4
"A&E TELEVISION NETWORKS, LLC",NULL,729.48,408.73,1767.07,597.84,518.95,298.69,641.6,2189.69,1212.95,1185.23,2350.34
"A. JAFFE, INC.",Americas,39469.15,37201.06,43078.33,42447.22,35407.37,23423.47,44326.01,38031.76,43549.87,54822.6,48110.7
"A. JAFFE, INC.",APAC,0,0,0,0,0,0,0,0,0,78.86,0
A. LASSONDE INC.,Americas,349122.91,380167.59,376685.18,513540.11,323256.77,321531.1,292470.12,394604.43,323352.87,321287.03,298615.88
A. LASSONDE INC.,EMEA,863.04,15215.75,5074.26,9734.74,3406.05,9091.65,3839.34,11365.06,1198.54,8400.01,10236.5
"A. MENARINI (CHINA) HOLDING CO., LTD.",Americas,0,0,0,737.53,1007.73,62.68,0,0,835.92,422.21,166.53
"A. MENARINI (CHINA) HOLDING CO., LTD.",APAC,871600.39,2473786.21,2523767.51,2572820.23,1019977.08,1209981.03,871806.85,1123468.19,610161.77,662028.34,980762.48
"A. MENARINI (CHINA) HOLDING CO., LTD.",EMEA,0,197.23,2819.02,0,34.22,46.45,0,817.1,798.56,3201.8,0
A.J. ANTUNES & CO,Americas,108621.08,119258.99,107968.7,138623.95,125746.4,188147.93,133081.69,156774.8,157273.89,158331.42,139471.99
A.J. ANTUNES & CO,APAC,7210.27,17691.64,6255.67,12479.92,5675.59,11781.04,8560.23,7646.39,9111.83,10327.64,8516.22
A.J. ANTUNES & CO,EMEA,11224.61,1309.45,1778.49,9299.99,7542.5,3366.5,10779.51,8338.06,5709.57,5218.04,7345.64
A123 SYSTEMS,Americas,268402.31,269157.59,281772.78,280754.5,269929.88,352437.4,340732.39,400022.73,290856.95,296795.44,306805.72
A123 SYSTEMS,APAC,22217.19,29521.62,43254.63,49769.53,27698.65,36203.7,45485.73,43380.13,28563.75,41512.4,53628.85
A123 SYSTEMS,EMEA,33800.14,41643.45,42752.63,52770.02,45070.37,63413.84,70095.58,82545.25,73633.34,80809.97,89143.16
A2K TECHNOLOGIES PTY LTD,Americas,290.48,2911.42,1519.14,4285.41,6833.89,10463.78,2585.9,4309.74,5604.63,0,1164.73
A2K TECHNOLOGIES PTY LTD,APAC,55108.16,49325.05,49146.76,56735.98,52236.65,60713.26,59601.63,55580.28,57066.62,66117.89,75490.97
A2K TECHNOLOGIES PTY LTD,EMEA,0,0,0,0,107.77,1266.13,0,0,0,521.96,0
A2MAC1 LLC,Americas,126447.1,143502.52,142435.04,267285.29,122190.01,103657.25,107603.04,152787.59,78442.59,155343.39,126395.15
"AAA ARIZONA, INC",Americas,354020.8,625417.97,634704.91,845316,838726.94,832405.16,734868.09,699772.82,722639.34,631438.82,496036.74
"AAA ARIZONA, INC",APAC,0,0,0,0,0,238.29,0,0,0,0,0
"AAA ARIZONA, INC",EMEA,743.31,0,160.51,54.8,0,0,0,0,0,0,0
AAA LIFE INSURANCE CO,Americas,138973.81,223074.82,199431.28,298064.86,212473.43,204089.54,132953.63,158800.4,184510.52,213940.07,212810.03
AAA LIFE INSURANCE CO,APAC,0,0,0,0,0,0,0,39.98,0,0,0
AAA LIFE INSURANCE CO,EMEA,0,0,0,0,0,0,0,0,0,0,979.5
AAE TRAVEL PTE LTD,Americas,1127.92,7016.73,3932.51,7955.33,12889.4,6997.94,6969.07,5658.41,4145.06,6695.42,18713.23
AAE TRAVEL PTE LTD,APAC,79666.45,104923.16,100373.4,159360.86,101677.22,130644.71,93082.07,126364.79,74313.17,128348.63,194408.32
AAE TRAVEL PTE LTD,EMEA,1550.59,2925.4,2435.78,901.73,1182.29,380.59,848.18,2768.57,339.1,0,2269.86
"AAF, S. DE R.L. DE C.V.",Americas,84241.49,71028.9,82280.43,87767.2,42814.11,52418.21,54464.79,55706.61,39560.74,55041.39,62932.47
"AAF, S. DE R.L. DE C.V.",EMEA,0,834.05,0,1081.97,36.92,0,2613.36,2190.59,273.06,954.26,790.52
AAM LLC_US,Americas,66930.08,68055.81,58191.94,67816.95,54731.59,80558.9,43567.32,95464.89,93776.93,133154.55,76085.74
AAPC LIMITED,Americas,24972.56,28867.41,11819.93,30888.86,26059.1,15932.2,14729.89,26611.23,10629.04,32789.96,9633.61
AAPC LIMITED,APAC,223617.05,380916.62,228319.01,247872.32,173955.45,212443.24,266926.84,362263.34,210206.03,229471.57,207988.93
AAPC LIMITED,EMEA,1690.12,7698.43,16160.35,10024.09,4406.7,1309.62,5741.34,4510.83,4302.96,4387.86,9444.22
AAPC LIMITED,NULL,0,0,0,0,1.23,0,456.04,418.36,0,1.4,0
AAREAL CAPITAL CORPORATION,Americas,192976.49,161760.35,123851.74,189499.42,171344.09,223851.2,140100.14,148430.31,167054.48,132218.42,184448.76
AAREAL CAPITAL CORPORATION,EMEA,5824.63,4397.44,6296.42,7669.5,5384.48,4414.21,5969.78,7524.21,4599.03,4657.96,1512.85
AARHUSKARLSHAMN USA INC.,Americas,172171.34,268449.46,283132.71,309371.51,168064.96,384209.57,527979.37,569729.68,324221.09,421268.58,453673.33
AARHUSKARLSHAMN USA INC.,APAC,0,0,0,0,0,0,450.51,34.52,0,0,0
AARHUSKARLSHAMN USA INC.,EMEA,4957.96,950.98,2038.44,8690.66,4008.68,11854.27,9003.87,9903.4,382.73,8092.92,2838.76
AARHUSKARLSHAMN USA INC.,NULL,23.33,26.68,121.86,430.22,0,171.94,4.66,297.72,23.98,0,206.88
AB BOYD CORP,Americas,201796.07,242762.43,153973.19,237106.39,181576.94,205693.15,174982.56,214330.6,225251.16,243627,296383.53
AB BOYD CORP,APAC,7834.63,7954.13,5835.5,2214.56,8083.35,9363.14,2114.38,10972.5,3856.89,7342.19,21499.65
AB BOYD CORP,EMEA,3408.75,6683.31,3095.61,5906.71,3737.7,9119.13,2491.99,3762.71,2667.51,16223.32,20671.84
"AB MAURI FLEISCHMANNS, A DIVISION OF AB MAURI FOO",Americas,754201.16,827318.17,866102.68,742984.86,751382.99,818630.01,832627.8,799235.63,761643.72,722264.01,648605.07
"AB MAURI FLEISCHMANNS, A DIVISION OF AB MAURI FOO",APAC,1943.62,3242.56,1391.57,1685.02,1605.92,409.84,3807.6,1602.43,0,5777.34,2809.63
"AB MAURI FLEISCHMANNS, A DIVISION OF AB MAURI FOO",EMEA,8468.8,15644.71,20266.22,20956.41,12867.57,11043.73,12940.42,20137.82,9107.22,7739.45,11776.61
AB SCIEX (DISTRIBUTION),Americas,51088.29,80674.07,61494.11,74556.04,18904.23,66510.17,47921.36,43033.16,28834.56,80815.89,81960.2
AB SCIEX (DISTRIBUTION),APAC,655126.19,762710.08,758964.15,836812.47,677030.98,787039.69,813258.45,828270.44,705096.37,1079653.14,934974.27
AB SCIEX (DISTRIBUTION),EMEA,2545.38,4773,6087.38,12908.06,5878.24,9198.6,9115.05,6215.22,9088.53,10122.32,6884.7
"AB SCIEX, LLC (FOR NA & EMEA)",Americas,2738301.24,3376139.86,3363432.38,3267851.78,3146479.63,3615697.06,3997920.92,3942928.84,7291602.88,8198072.01,7381994.67
"AB SCIEX, LLC (FOR NA & EMEA)",APAC,380962.13,443585.21,433457.22,649837.14,394571.03,447945.16,448332.73,603575.43,261390.26,313872.89,257131.98
"AB SCIEX, LLC (FOR NA & EMEA)",EMEA,1027345.09,1185756.9,1099637.06,1711402.36,915406.12,1261043.34,1179773.31,1527805.77,911791.72,1330187.49,1105356.28
"AB SCIEX, LLC (FOR NA & EMEA)",NULL,5323.94,691.09,482.22,266.6,2057.17,4765.64,450.39,987.57,2666.17,3810.17,-0.91
AB VISTA INC,Americas,182912.72,189926.99,200008.73,199230.77,282882.22,169926.92,211856.4,259575.35,352194.34,227631.97,268367.28
AB VISTA INC,APAC,32395.74,51163.13,79426.28,64407.81,53038.04,57622.7,56868.07,67189.6,76050.53,68479.51,65567.26
AB VISTA INC,EMEA,6051.87,6065.36,14020.09,9402.49,7403.67,5655.35,16622.37,16842.46,10812.4,23306.04,13569.81
ABA INSURANCE SERVICES INC_US,Americas,128651.53,138466.15,155738.09,125539.06,156843.02,170029.41,140598.73,158300.09,134288.77,138957.34,135348.91
ABB INC,Americas,32090381.14,33997363.87,28834145.77,33752255.16,29608128.63,34995791.24,32036298.46,34701465.38,33619505.8,37399634.92,31809151.72
ABB INC,APAC,203086.66,300899.42,252796.55,291144.51,243673.93,231126.28,264157,298363.78,237250.52,290389.72,304278.24
ABB INC,EMEA,1062559.24,1159722.71,893833.31,1136781.58,1151692.6,1310170.66,1116755.7,1291333.17,1107487.98,1477698.21,1149259.3
ABB INC,NULL,49350.5,68775.38,47101.6,94916.36,58418.02,80931.47,54101.5,83066.84,49762.36,65704.43,70720.35
ABB INFORMATION SYSTEMS LTD (FKA ABB ASEA BROWN BOVERI LTD),Americas,199364.88,213266.37,180493.62,154478.82,146032.19,209905.6,143568.28,228357.44,207838.19,274053.53,224936.17
ABB INFORMATION SYSTEMS LTD (FKA ABB ASEA BROWN BOVERI LTD),APAC,99238.38,168725.93,92807.91,195110.87,80015.87,149993.97,160366.81,182604.96,173348.25,171354.98,179347.53
ABB INFORMATION SYSTEMS LTD (FKA ABB ASEA BROWN BOVERI LTD),EMEA,1435564.29,1491337.4,1156026.61,1480985.38,1162149.2,1297425.23,1243231.15,1813867.54,1342611.57,1439402.98,1289484.13
ABB/CON-CISE OPTICAL GROUP LLC,Americas,1054737.53,984023.72,1337716.15,1712000.11,1684666.23,1314194.08,1046662.61,1089921.31,1343309.24,1481257.7,1290405.89
ABB/CON-CISE OPTICAL GROUP LLC,APAC,0,-0.05,0,0,0,0,0,0,0,0,0
ABB/CON-CISE OPTICAL GROUP LLC,EMEA,5535.22,0,0,3.79,499.74,0,0,0,0,0,273.6
ABB/CON-CISE OPTICAL GROUP LLC,NULL,0,0,0,0,285.46,0,0,0,0,0,0
ABBOTT INDIA LIMITED,Americas,61406.51,40309.87,40754.27,70357.66,98087.38,50701.3,42854.86,47737.64,51727.27,28580.16,73249.23
ABBOTT INDIA LIMITED,APAC,486025.02,601165.46,635265.98,486439.64,507362.49,549859.15,615089.51,634968.32,501648.45,495903.73,704445.94
ABBOTT INDIA LIMITED,EMEA,47631.73,48492.21,58383.3,36974.35,34686.98,31245.74,48612.77,53591.06,39983.63,26850.24,57425.63
ABBOTT LABORATORIES,Americas,46280984.69,54207904.29,51963273.03,57653624.69,45228320.75,52553771.21,48411722.14,51552844.19,45986417.49,52307280.82,46337818.76
ABBOTT LABORATORIES,APAC,20320111.88,25446483.92,23525074.79,26138384.7,19795729.72,24449021.9,21929753.95,25521512.95,19933181.22,23077972.59,20509743.07
ABBOTT LABORATORIES,EMEA,10480031.06,11750558.82,10162738.07,13151690.18,10186877.48,13045369.64,10612369.2,13348465.66,10341826.63,12054633.64,10126349.15
ABBOTT LABORATORIES,NULL,184892.92,297722.1,276586.78,448871.69,299799.83,470844.02,362618.27,372568,326073.64,435905.09,452155.09
"ABBVIE, INC",Americas,43977968.69,49283390.51,43764006.9,55434027.12,44932455.44,50361983.93,42927363.25,55033114.38,45536370.65,53711990.32,46759668.08
"ABBVIE, INC",APAC,6412447.54,10841805.64,9870239.56,12636109.9,9281926.72,11449922.53,11076508.43,13057809.45,9053166.38,10948584.77,10828914.07
"ABBVIE, INC",EMEA,10972272.47,17833532.76,16081293.97,23261682.67,16540331.18,21228392.13,15917585.89,23579083.63,16619739.75,19793414.77,16412225.01
"ABBVIE, INC",NULL,611150.39,711664.61,759382.56,918088.64,717070.85,806876.39,943954.43,832933,671544.8,711206.16,592161.38
ABC FINANCIAL,Americas,1831544.04,1491967.98,1397421.75,1424605.06,1257161.95,1388362.73,1304482.78,1323193.95,1297441.27,1448271.26,1078933.98
ABC FINANCIAL,APAC,0,0,0,0,0,0,3400.37,0,0,0,2678.53
ABC FINANCIAL,EMEA,566.06,0,12.97,16.45,3608.6,2816.34,1900.22,1556.73,0,125.82,353.66
ABC FINANCIAL,NULL,0,0,0,0,0,201.18,586.09,0,0,0,10.64
ABCK CORP,Americas,61334.09,49975.08,77545.86,110594.75,72004.78,84980.88,29233.33,34073.86,114878.13,110867.06,68273.02
ABCK CORP,APAC,0,0,104.27,182.01,1492.47,0,0,0,0,0,0
ABCK CORP,EMEA,0,0,0,159.56,622.47,0,1112.17,69.78,2485.88,1225.25,1205.14
ABELL PEST CONTROL INC,Americas,203871.62,233472.82,246490.56,279685.27,250229.3,293458.96,209226.67,301806.74,297988.16,260657.23,223687.43
ABELL PEST CONTROL INC,APAC,0,26.9,6.43,5.45,0,1107.91,0,0,0,0,0
ABERCROMBIE AND FITCH,Americas,3402487.3,3350626.01,3209558.46,4143334.59,3430937.75,3610368.97,3676095.99,4052423.22,3262810.88,3342991.4,3293181.55
ABERCROMBIE AND FITCH,APAC,358012.13,467048.19,482990.81,541730.86,377833.13,482654.83,517202.45,558398.17,470988.06,464209.7,402481.2
ABERCROMBIE AND FITCH,EMEA,698061.59,718554.67,352632.29,691153.67,567668.29,656813.86,649105.38,785311.55,491181.68,658264.78,668624.91
ABERCROMBIE AND FITCH,NULL,15360.9,19530.71,14284.31,17829.99,19255.14,20889.86,16395.6,44384.02,20105.53,19989.77,47999.94
ABERDEEN ASSET MANAGEMENT INC.,Americas,923998.3,846867.3,790684.83,875508.49,657424.18,650925.43,735957.21,662033.98,676956.55,764401.02,787423.04
ABERDEEN ASSET MANAGEMENT INC.,APAC,8589.37,32129.83,5460.85,59208.12,6515.34,23495.76,1430.18,30705.82,11425.21,45425.75,51719.37
ABERDEEN ASSET MANAGEMENT INC.,EMEA,55515.72,51981.26,63518.29,85260.68,46634.91,44011.98,43634.36,49910.53,47019.15,71932.81,60608.94
ABEY AUSTRALIA PTY LTD,Americas,35.05,29.29,728.45,227.89,103.24,1315.92,1587.08,1333.06,401.98,415.24,55.13
ABEY AUSTRALIA PTY LTD,APAC,144783.93,123312.18,118427.46,149269.88,161306.1,101207.41,203913.07,135731.48,201542.62,175781.78,156123.61
ABEY AUSTRALIA PTY LTD,EMEA,3156.44,4877.59,806.81,0,2336.47,4440.55,98.82,262.59,3894.07,5525.37,1029.33
ABILITY NETWORK INC.,Americas,495749.38,420846.45,572025.13,588445.77,518248.58,697261.67,552632.18,684369.46,596478.68,514558.52,404820.11
ABILITY NETWORK INC.,APAC,56.34,0,0,51.34,2294.28,24.49,22.09,1930.38,6.88,90.8,0
ABILITYFIRST,Americas,111385.68,113903.12,120053.5,120696.34,115374.25,174420.79,146025.32,143851.61,173580.66,223903.73,128836.46
ABILITYFIRST,APAC,0,0,0,0,0,0,0,129.74,0,119.98,0
ABILITYFIRST,EMEA,0,0,0,0,0,0,252.06,0,0,0,0
"ABIOMED, INC.",Americas,2497330.72,2695991.98,2713467.24,3028869.86,3045460.23,3347503.74,3837573.39,3711925.46,4457644.02,3892485.92,4517523.92
"ABIOMED, INC.",APAC,16541.62,13499.91,14305.72,1198.11,11539.89,14429.78,61090.14,94100.29,98971.24,43533.06,142866.07
"ABIOMED, INC.",EMEA,45337.29,54971.78,40808.31,41562.13,82538.81,161710.11,215034.17,261142.5,234130.87,247947.42,288247.76
"ABIOMED, INC.",NULL,1073.29,1747.84,1377.68,1594.25,5652.06,12936.56,9345.81,11528.24,15756.93,10089.05,18244.3
ABITEC CORPORATION,Americas,107437.27,132036.5,140659.6,143259.09,127061.6,146941.17,214522.68,137089.97,136669.1,151470,218553.5
ABITEC CORPORATION,APAC,27596.04,6156.08,17663.37,7741.16,3868.3,8410.06,21754.55,13429.51,2021.85,4188.78,31146.01
ABITEC CORPORATION,EMEA,4496.74,6963.27,4979.06,3999.12,8577.34,3014.7,16166.57,18307.64,3916.72,10256.62,3153.88
"ABLENET, INC.",Americas,138671.82,114110.16,124895.72,207385.31,131537.89,124805.21,156269.06,223822.02,163111.22,151540.41,210928.75
"ABLENET, INC.",APAC,0,9363.83,2718.48,3239.65,116.38,1158.18,0,5756.1,2410.81,2715.81,0
"ABLENET, INC.",EMEA,4127.28,3494.82,7382.12,5339.85,6356.38,7134.12,3334.62,8082.19,3349.12,5150.14,14077.68
ABM (ADVANCED BIOLOGICAL MARKETING),Americas,110287.65,78441.69,70537.42,62880.9,80393.83,62654.54,71844.92,62896.38,72703.39,71762.86,90935.53
ABM (ADVANCED BIOLOGICAL MARKETING),APAC,1698.31,1788.94,1506.46,1473.66,0,0,0,0,303.38,4.7,0
ABM (ADVANCED BIOLOGICAL MARKETING),EMEA,1672.99,1358.07,399.57,103.44,222.87,452.73,152.07,126.87,0,72.77,814.9
"ABN AMRO BANK N.V., HONG KONG BRANCH",Americas,1471.06,1301.91,3259.47,15243.71,268.69,1613.82,5074.62,841.74,3978.13,6002.21,4909.81
"ABN AMRO BANK N.V., HONG KONG BRANCH",APAC,160763.34,272356.87,284692.57,400929.54,181855.12,178486.88,216196.63,379619.31,246656.93,231366.91,192969.92
"ABN AMRO BANK N.V., HONG KONG BRANCH",EMEA,6439.98,34828.25,24604.63,33996.36,4994.77,25801.81,11681.76,34602.04,14598.37,23485.62,18961.6
ABN AMRO HOLDINGS USA LLC,Americas,461358.69,915836.34,599971.51,746570.67,396720.14,520496.36,721338.99,778773.16,388662.51,804458.24,880145.39
ABN AMRO HOLDINGS USA LLC,APAC,195.93,11786.83,196.51,14289.56,920.3,4093.82,0,40.47,519.9,4276.22,807.23
ABN AMRO HOLDINGS USA LLC,EMEA,37582.43,57029.7,40106.24,89992.8,60115.42,22564.29,44339.24,82181.59,36966.87,51285.49,83587.23
"ABRA AUTO BODY & GLASS, LP.",Americas,705868.04,913039.27,925200.91,1050633.01,921465.96,1030867.77,947151.58,945463.52,903613.54,944470.65,949095.04
"ABRA AUTO BODY & GLASS, LP.",APAC,0,0,0,0.42,0,0,0,0,0,0,0.61
"ABRA AUTO BODY & GLASS, LP.",EMEA,0,0,0.53,0,0,14.55,0,0,0,0,0
ABRASIVE TECHNOLOGY INC,Americas,88849.1,121023.27,105260.12,288339.63,206926.34,177730.28,231267.3,188735.93,228274.94,208506.47,182353.39
ABRASIVE TECHNOLOGY INC,APAC,0,0,759.55,0,0,0,0,0,2098.15,1384.5,0
ABRASIVE TECHNOLOGY INC,EMEA,87,1172.53,0,5450.82,3184.88,1109.2,3417.44,2282.31,7409.69,4378.23,502.43
ABRASIVE TECHNOLOGY INC,NULL,0,0,0,537.63,0,0,0,0,374.21,0,0
ABS CAPITAL PARTNERS INC,Americas,226413.15,177970.69,178873.68,235496.74,140296.58,161173.5,156759.75,177666.45,204679.87,168176.71,111354.55
ABS CAPITAL PARTNERS INC,EMEA,1119.45,1684.49,7042.23,954.32,0,0,606.42,0,0,0,0
ABS INVESTMENT MANAGEMENT LLC,Americas,135733.43,154775.23,106738.01,223635.42,150689.13,289592.13,209247.2,188391.5,315470.92,246727.86,163759.67
ABS INVESTMENT MANAGEMENT LLC,APAC,4836.58,0,0,5314.15,0,987.1,2089.71,4387.16,0,2410.64,2905.84
ABS INVESTMENT MANAGEMENT LLC,EMEA,1427.78,2011.14,2100.65,293,0,465.33,2965,2692.92,1452.54,221.31,3126.99
ABSOLUTE SOFTWARE CORPORATION,Americas,803029.42,1058357.4,832693.35,1130090.03,1015853.34,749470.44,827217.38,1070766.2,1022667.74,1159602.36,843709.03
