company_name,entry_region,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2,2017Q3
"DIGITAL CONTROL, INC.",Americas,84560.39,116923.44,95809.03,101351.88,103924.26,89726.12,80524.5,84973.29,139149.1,119296.55,124519.74
"DIGITAL CONTROL, INC.",APAC,39288.08,80817.81,59738.2,69523.21,40591.64,66249.41,49061.89,65133.27,43585.73,93234.02,74614.7
"DIGITAL CONTROL, INC.",EMEA,1618.26,4848.37,1297.22,4427.75,3605.02,4987.77,5265.86,4484.2,3447.06,13110.83,3457.98
"DIGITAL CONTROL, INC.",NULL,1987.96,3105.11,1846.49,4127.26,2574.95,2794.55,2873.26,2861.6,1401.63,726.9,333.26
DIGITAL DOC,Americas,187020.93,180738.34,167124.65,158232.5,164443.69,163943.57,145284.45,122701.57,112955.82,158037.62,119000.01
DIGITAL DOC,APAC,0,121.17,0,0,0,0,0,0,0,0,0
DIGITAL DOC,EMEA,0,0,0,6.94,353.06,0,0,0,0,0,0
"DIGITAL GUARDIANS, INC.",Americas,335372.03,611222.08,579681.53,578792.72,844687.82,554789.88,592645.51,555678.99,586414.96,576041.85,614199.45
"DIGITAL GUARDIANS, INC.",APAC,17780.24,63110.62,67766.34,83655.21,68687.95,72634.69,74815.03,94042.21,65854.82,54897.57,85217.02
"DIGITAL GUARDIANS, INC.",EMEA,121727.73,183441.85,183759.6,200036.28,186144.92,229576.53,165095.53,174036.26,120993.43,168380.85,91559.34
"DIGITAL GUARDIANS, INC.",NULL,18630.27,23256.58,15043.92,15042.05,20383.38,14498.74,13225.09,10010.6,17654.21,9045.89,9243.48
"DIGITAL INSURANCE, INC.",Americas,575032.51,657086.22,768213.38,1034004.65,758028.8,965405.73,1145848.48,1193587.58,903438.95,1131800.35,1354874.32
DIGITAL REALTY TRUST,Americas,1452996.19,2292173.81,1806178,1973855.94,1576578.98,1626786.71,1796187.03,2604806.18,1724333.38,1748682.63,1564050.21
DIGITAL REALTY TRUST,APAC,122988.07,130258.2,133324.52,171129.77,131198.77,276260.24,248180.06,388358.01,239235.77,252002.18,271432.47
DIGITAL REALTY TRUST,EMEA,104428.04,173711.01,113142.08,183996.58,207735.36,294311.11,296457.05,307058.92,236431.6,365045.78,376167.4
DIGITAL REALTY TRUST,NULL,1663.65,3034.97,1674.56,2648.2,3799.75,2348.63,2723.94,2617.94,3187.5,3501.55,3469.72
"DIGITAL RECOGNITION NETWORK, INC.",Americas,498403.73,526400.19,589188.21,621269.73,487195.89,629486.08,554380.83,731681.48,403352.19,667669.53,508849.82
"DIGITAL RECOGNITION NETWORK, INC.",APAC,220.03,0,4101.26,1285.49,2869.7,0,0,0,1329.81,1172.45,4191.22
"DIGITAL RECOGNITION NETWORK, INC.",EMEA,2863.58,1204.83,0,1790.59,622.82,1258.85,1974.7,150.48,1509.7,347.79,2482.44
