COMPANY_NAME,GEO,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2,2017Q3,fff
"AEROSPACE INDUSTRIES ASSOCIATION OF AMERICA, INC.",EMEA,0,0,0,0,0,0,0,0,0,100.44,0,100.44
AERZEN USA CORPORATION,Americas,340001.55,275206.01,263065.2,352645.2,305030.24,369805.26,422919.41,370952.32,406429.36,311257.84,626626.32,4043938.71
"AES ARLINGTON SERVICES, LLC",Americas,1984160.7,2766639.09,3175630.19,4172223.63,4289013.04,4763380.85,4713387.2,5081922.37,6128254.62,6711877.74,7775510.44,51561999.87
"AES ARLINGTON SERVICES, LLC",EMEA,0,0,0,0,0,0,0,36017.98,107819.44,141714.63,169099.32,454651.37
AES DRILLING FLUIDS LLC,Americas,847862.31,547555.56,666290.7,891418.5,664013.73,272973.47,267844.42,346111.42,323062.3,536685.88,673686.48,6037504.77
AES DRILLING FLUIDS LLC,EMEA,0,0,0,0,0,0,0,0,0,0,420.68,420.68
AETHON INC.,Americas,174737.75,138554.83,196990.68,240389.49,262955.76,195995.45,190832.91,257956,184005.97,186706.22,150354.96,2179480.02
AETNA LIFE INSURANCE COMPANY,Americas,30488709.05,39737410.14,33398295.6,39113219.37,31240998.34,38875221.2,31579110.07,33451283.69,26336375.45,32888999.24,32431659.59,369541281.7
AETNA LIFE INSURANCE COMPANY,EMEA,563550.79,569117.03,620121.99,742970.8,698415.72,840042.61,631296.63,746768.83,507544.92,833627.64,682961.02,7436417.98
"AETOS ALTERNATIVES MANAGEMENT, LLC",Americas,154216.78,159115.65,157563.44,146843.81,192954.8,151760.8,87971.96,150963.73,129233.66,165551.36,144799.01,1640975
AEVOE CORP,Americas,78066.5,106005.01,120749.12,72849.07,124355.03,142436.53,137337.05,97743.04,124211.57,100476.13,74190.78,1178419.83
AEW CAPITAL MANAGEMENT LP,Americas,722420.66,920958.03,799077.93,1140310.45,744068.34,1041960.05,808136.13,1388472.8,1014136.44,1082167.49,789491.2,10451199.52
AEW CAPITAL MANAGEMENT LP,APAC,88796.87,128221.42,82955.63,120871.44,77708.76,122931.43,71946.88,149956.14,75062.34,202377.09,178563.66,1299391.66
AEW CAPITAL MANAGEMENT LP,EMEA,0,3699.88,1947.06,1652.64,0,0,0,0,0,0,0,7299.58
"AFAM CAPITAL, INC.",Americas,78368.4,84791.9,85499.19,61763.31,32863.68,36896.35,30295.78,40146.91,38948.18,37910.08,25134.7,552618.48
AFCC AUTOMOTIVE FUEL CELL COOPERATION CORP.,Americas,125614.51,132672.39,71736.52,192364.29,92769.17,124468.28,113444.63,248823.36,88756.24,92444.37,86050.84,1369144.6
AFD PETROLEUM LTD,Americas,315802.16,317340.64,234901.48,245720.33,251788.45,237564.06,234408.62,179167.21,175999.9,275949.73,161443.11,2630085.69
AFFINION GROUP,Americas,1426916.55,1704418.51,1157093.85,1459020.94,1177388.66,1255800.61,1220559.7,1688446.33,1349121.61,2059214.04,1574581.75,16072562.55
AFFINION GROUP,APAC,0,8957.92,12133.04,4503.09,3220.04,8786.87,3999.57,5726.85,3295.11,3494.59,1272.93,55390.01
"AFFINITY DEVELOPMENT GROUP, INC.",Americas,418314.92,416167.45,359061.5,533992.7,517178.72,596722.59,457168.45,547907.95,433749.46,475853.81,614185.94,5370303.49
"AFFINITY DEVELOPMENT GROUP, INC.",EMEA,0,0,0,0,0,0,0,0,409.13,889.76,213.15,1512.04
AFFINITY SOLUTIONS,Americas,29667.07,65931.23,41571.03,38750.48,28910.16,27032.93,30920.75,21746.38,40981.8,39115.89,46472,411099.72
AFFLINK LLC,Americas,191828.15,205160.76,194605.28,229052.21,218143.44,197745.61,233642.07,192598.11,208440.56,193311.6,188739.83,2253267.62
"AFFYMETRIX, INC.",Americas,1820123.68,2503170.43,2184653.48,2710882.11,2107160.43,1819846.86,1336179.72,1291387.22,855752.35,918430.53,332415.93,17880002.74
"AFFYMETRIX, INC.",APAC,249511.25,303623.91,293145.64,345070.52,273549.72,270118.09,220266.56,215213.83,76551.06,85866.79,67698.88,2400616.25
"AFFYMETRIX, INC.",EMEA,231374.72,327353.83,370790.22,615009.44,581976.67,484920.8,378783.34,506108.4,240468.84,53337.44,11196.35,3801320.05
AFL-CIO,Americas,309524.2,390922.73,349300.44,391111.68,295294.53,387803.24,378604.38,389886.31,290515.51,309866.75,196512.92,3689342.69
AFL-CIO,APAC,376.3,561.21,633.16,799.41,1762.12,0,671.17,1307.79,773.86,41.47,56.87,6983.36
AFL-CIO,EMEA,0,117.35,480.88,0,0,0,0,0,0,0,0,598.23
AFS TECHNOLOGIES,Americas,73841.16,223487.89,162004.51,182782.08,108136.29,172961.67,116338.33,112318.86,128123.84,126780.86,91933.56,1498709.05
AFS TECHNOLOGIES,APAC,0,1431.84,2253.76,1237.3,2193.64,3888.59,2904.32,2935.85,1391.8,996.27,1293.15,20526.52
AFS TECHNOLOGIES,EMEA,0,0,0,0,0,1717.59,2950.76,2518.43,7479.07,11778.11,9133.22,35577.18
