COMPANY_NAME,GEO,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2,2017Q3,fff
DATACORE,EMEA,177436.07,239114.69,190528.81,249114.37,186096.32,252734.16,201770.16,268775.75,248150.56,358778.32,273954.56,2646453.77
"DATASCAN FIELD SERVICES, LLC",Americas,648060.21,683962.09,649958.02,633072.53,516037.76,600586.31,599583.37,698533.36,556712.53,587926.25,651362.53,6825794.96
DATASCAN LP,Americas,177371.26,240783.73,239877.78,248545.69,209373.76,255015.58,236930.33,253021.25,217632.38,363470.71,301748.16,2743770.63
DATASCAN LP,EMEA,2688.34,5686.13,0,4191.61,10488.76,4884.93,6024.89,12491.6,8109.73,25738.65,4206.22,84510.86
DATASCOPE PATIENT MONITORING,Americas,1427465.64,1599573,1618821.67,1544672.65,1542788.83,1975223.46,1917582.13,2100124.74,1873137.74,2322452.34,2264407.88,20186250.08
DATASCOPE PATIENT MONITORING,EMEA,1075.91,0,0,0,0,0,0,0,0,0,0,1075.91
DATASOURCE,Americas,215294.19,306991.14,419530.11,491353.94,492024.35,456069.69,426556.18,516247.5,510177.74,543487.96,335717.9,4713450.7
"DATATRAK INTERNATIONAL, INC.",Americas,45877.5,69906.62,34328.64,19547.68,25645.52,14335.69,22664.42,11266.45,28792.34,14175.36,19756.98,306297.2
"DATATRONICS ROMOLAND, INC.",Americas,16118.35,11021.76,24347.99,8618.04,13942.33,15079.41,15782.04,10567.28,7873.36,20090.35,17452,160892.91
DATAVAIL,Americas,213728.64,231253.63,244394.28,295603.93,221638.03,354432.28,293547.62,364865.44,399135.28,520909.78,591580.87,3731089.78
DATAVOX INC,Americas,136911.96,173391.21,139959.32,136698.58,118847.75,124293.03,120023.34,156566.62,187682.23,225136.16,66326.7,1585836.9
DATAWATCH CORPORATION,Americas,283395.26,325764.46,252274.58,242509.52,182279.11,164409.62,163794.01,156068.6,124762.2,185123.83,177415.94,2257797.13
DATAWATCH CORPORATION,APAC,27766.9,11188.38,14762.05,19547.8,6444.25,21337.25,14236.39,12914.58,2160.66,0,0,130358.26
DATAWATCH CORPORATION,EMEA,55945.52,56176.08,43881.97,41732.01,30155.28,46888.68,44358.81,41045.52,38387.27,26272.96,30086.5,454930.6
DATAXU,Americas,341876.83,376740.47,291656.33,344117.32,233421.96,350704.68,344351.05,455834.23,274023.8,200709.55,189747,3403183.22
DATAXU,APAC,0,0,0,0,0,8040.2,21344.59,43953.65,41101.96,26198.18,77034.84,217673.42
DATAXU,EMEA,0,21139.58,33885.99,40355.06,49446.18,62782.94,38440.34,76651.85,47912.52,50953.81,48181.4,469749.67
"DATTO, INC",Americas,640546.84,799533.04,700778.59,1036980.51,874524.03,1189610.86,1178856.81,989852.82,851798.63,1051430.22,1338980.09,10652892.44
"DATTO, INC",APAC,709.82,2955.77,16209.58,13863.56,10397.72,7831.77,20037.09,52336.45,54439.81,53867.92,85262.8,317912.29
"DATTO, INC",EMEA,8832.71,11182.16,4000.38,2618.14,2663.76,0,5983.3,12061.04,24443.24,30531.12,74716.79,177032.64
DAUBY OCONNOR &AMP; ZALESKI LLC,Americas,109333.89,174113.77,208117.84,413083.8,153610.92,181605.62,258577.9,421621.08,173015.92,228213.28,341456.28,2662750.3
DAVENPORT & COMPANY LLC,Americas,166549.84,187307.24,188210.05,359324.58,143297.29,206131.7,217468.23,392595.36,189818.94,257711.53,182639.29,2491054.05
DAVEX LABS LLC,Americas,100770.89,158275.67,133199.15,141036.92,144775.13,162390.81,143422.94,155280.21,125776.93,165944.36,164139.02,1595012.03
DAVID BROWN GEAR INDUSTRIES LIMITED,APAC,17188.94,131326.55,109743.67,116214.56,105675.65,109932.39,59421.42,53610.36,46014.85,58021.03,92576.85,899726.27
"DAVID MICHAEL & CO., INC.",Americas,166470.86,253426.51,170481.95,243384.4,157756.1,181778.54,199904.87,164807.59,128814.49,128580.12,139334.8,1934740.23
DAVID SUTHERLAND INC,Americas,181588.16,262235.44,179346.46,211782.77,193601.9,179664.96,164530.61,212580.7,249183.06,198449.45,128553.13,2161516.64
DAVID SUTHERLAND INC,APAC,0,0,0,0,0,0,0,0,0,14523.21,6268.25,20791.46
DAVID SUTHERLAND INC,EMEA,0,0,0,0,0,0,0,0,0,10341.39,3464.16,13805.55
DAVID YURMAN ENTERPRISES LLC,Americas,1330355.82,1372777.16,1460261.45,1459447.04,1135762.81,1300299.48,1414501.03,1813387.38,1679718.29,1427242.01,1220036.95,15613789.42
DAVID YURMAN ENTERPRISES LLC,EMEA,0,0,0,0,0,0,0,469.31,5593.15,16624.97,13465.24,36152.67
"DAVIDOFF OF GENEVA (USA), INC",Americas,506062.96,582225.45,652309.88,574365.24,550040.34,654729.72,663321.52,409810.83,480523.9,447877.8,680661.04,6201928.68
DAVIDSON COMPANIES,Americas,1462773.51,1726482.57,1861634.92,1945233.35,1403214.85,1807225.97,1754763.52,1801007.14,1538558.29,1789031.62,1999906.43,19089832.17
DAVIDSON COMPANIES,EMEA,0,0,0,0,351.29,0,0,0,0,0,0,351.29
DAVIDSON KEMPNER CAPITAL MANAGEMENT LP,Americas,954673.71,1313060.76,873795.77,1034073.78,1016029.35,723506.93,1165775.61,1340976.34,1018681.58,1336744.56,1236794.46,12014112.85
DAVIDSON KEMPNER CAPITAL MANAGEMENT LP,APAC,50457.79,96633.15,119704.05,147446.84,126944.08,146947.51,75673.63,100836.7,91462.25,76690.6,76539.78,1109336.38
DAVIDSON KEMPNER CAPITAL MANAGEMENT LP,EMEA,356411.99,349553.02,349951.13,517164.84,263808.08,327349.35,173839.38,444553.23,220950.18,239821.35,263132.11,3506534.66
DAVIDSTEA INC,Americas,495010.92,545428.42,592746.11,708846.7,497901.47,471627.4,574482.44,903093.75,597035.8,579598.45,581684.11,6547455.57
"DAVITA HEALTHCARE PARTNERS, INC.",Americas,20864455.59,25753811.24,26879564.51,35959540.29,25787151.44,30698365.88,32757290.35,42111659.45,29744680.48,32528526.1,34056606.71,337141652
"DAVITA HEALTHCARE PARTNERS, INC.",APAC,156262.95,9723.55,100455.49,174285.63,206829.67,233126.41,173475.43,201687.62,203520.04,157537.82,182315.81,1799220.42
"DAVITA HEALTHCARE PARTNERS, INC.",EMEA,1044686.16,1159406.59,934233.27,1166968.02,1005083.3,750324.74,875295.19,1046232.48,897995.79,987661.52,911607.56,10779494.62
DAWSON LOGISTICS INC_US,Americas,276223.51,323265.44,227745.71,215774.75,245704.72,251975.32,205872.35,214723.01,172314.79,246780.32,113550.58,2493930.5
"DAXKO, LLC",Americas,403921.58,523795.14,462080.65,445761.94,545994.36,626792.15,590041.26,643206.15,897028.6,835183.7,1230614.76,7204420.29
DAY LEWIS PLC,EMEA,124532.12,113352.8,137141.55,138048.28,112388.28,108507.55,106796.05,123489.3,128716.41,129758.72,148452.48,1371183.54
DAYMAR LEARNING INC.,Americas,53129.28,56160.71,65327.33,82009.27,54041.42,66779,60672.92,54974.99,58336.27,59055.84,55934.26,666421.29
DAYMEN US,Americas,176656.99,217096.91,180886.51,176827.37,103965.02,127923.63,145730.79,140677.72,117933.72,112093.29,93506.73,1593298.68
DAYMEN US,APAC,9288.12,28306.94,19502.41,42990.39,24052.25,23926.12,31220.72,41724.21,38155.89,38977.34,32005.67,330150.06
DAYMEN US,EMEA,56785.48,60188.73,71125.04,83834.68,68815.19,44730.27,41502.55,43810.46,61363.92,56339.52,45143.02,633638.86
DAYMON WORLDWIDE,Americas,1865062.81,2010000.57,2206051.77,2297738.24,1625027.47,1887082.34,1505396.22,2040987.91,1268514.42,1504714.61,1572300.18,19782876.54
DAYTON ROGERS,Americas,198285.24,249819.06,140953.31,86946.98,102289.97,137603.94,163148.11,169887.22,160372.65,193791.63,141381.98,1744480.09
DB USA CORE CORPORATION,Americas,29787153,37930321.17,31459602.44,34262816.95,28024010.96,31683673,24267532.98,24920604.5,22581294.74,24862660.42,21577359.23,311357029.4
DB USA CORE CORPORATION,APAC,20710840.1,25801817.55,24110537.54,22714376.45,18134626.76,21943699.52,18757329.85,18452217.31,15624895.62,18667646.73,18159264.77,223077252.2
DB USA CORE CORPORATION,EMEA,24586448.64,28854952.19,28773905.72,33416376.46,25816364.85,27769656.84,27841815.61,36326766.66,29915963.12,31873231.92,30886802.01,326062284
DBM GLOBAL INC.,Americas,598014.1,712750.08,658579.52,634872.47,576120.12,680388.39,743789.54,731596.72,713696.5,961028.21,882750.21,7893585.86
"DCI DONOR SERVICES, INC.",Americas,311915.91,393836.41,347660.31,328619.46,331494.44,394517.74,398562.42,298268.86,318920.04,289824.77,266876.92,3680497.28
"DCI MARKETING, INC.",Americas,564468.08,593666.52,559355.2,601351.39,650930.8,778764.71,500594.37,542644.46,380083.53,450727.87,409943.06,6032529.99
"DCI MARKETING, INC.",APAC,4400.98,2960.44,6750.33,6214.08,3607.58,4656.98,6482.07,5760.46,5832.11,0,0,46665.03
"DCK WORLDWIDE, LLC",Americas,433027.97,413667.47,463520.42,345651.89,409763.65,401810.03,300110.56,231048.42,283899.93,283466.8,306570.08,3872537.22
"DCK WORLDWIDE, LLC",APAC,10817.43,18260.14,1203.1,9.09E-13,0,0,0,4007.09,1845.73,0,0,36133.49
"DD TRADERS, INC DBA DEMDACO",Americas,747116.63,461038.21,566355.77,643723.86,494390.45,252584.44,330526.23,387690.35,392660.18,307245.67,287254.21,4870586
DDJ CAPITAL MANAGEMENT,Americas,28306.42,67308.35,28357.09,41198.54,26054.67,28090.87,17143.96,19480.31,7245.29,52938.27,47572.51,363696.28
DDR CORP,Americas,1150283.97,1120068.46,867067.36,1479101.47,980287.32,983865.16,828952.47,1188307.33,828257.59,914058.26,632829.13,10973078.52
DE LA RUE HOLDINGS PLC,EMEA,783902.26,989450.41,1013865.11,1014405.65,823247.2,949903.15,823024.19,1051392.55,860990.33,1183209.02,1629975.03,11123364.9
"DE NORA TECH, INC.",Americas,416653.28,428013.63,434195.72,455629.89,352873.79,366005.28,333934.06,430246.54,371003.04,373103.86,369843.56,4331502.65
"DE NORA TECH, INC.",APAC,0,0,0,0,0,3726.72,32173.44,37494.69,42102.38,41333.72,28261.17,185092.12
"DE NORA TECH, INC.",EMEA,0,0,0,0,0,3393.19,9195.31,17179.94,20184.75,19061.32,20454.19,89468.7
"DEALERDIRECT, LLC D/B/A FORDDIRECT",Americas,569051.96,380094.38,401149.49,575398.16,473246.31,520282.84,646822.14,668855.59,634695.59,607581.32,610660.06,6087837.84
"DEALERDIRECT, LLC D/B/A FORDDIRECT",EMEA,0,0,0,0,0,0,0,0,0,78.1,125.41,203.51
"DEALERSOCKET, INC.",Americas,2174732.62,2368162.56,2301177.02,2789620.82,2365258.31,2652512.55,1981327.01,2109943.49,1590104.48,1693112.41,1841550.52,23867501.79
"DEALERSOCKET, INC.",EMEA,0,0,0,0,0,0,0,0,44.63,0,53.67,98.3
"DEALERTRACK CANADA, INC.",Americas,110994.46,142565.14,122167.81,98416.22,97385.17,135234.46,121309.16,161287.88,123036.49,701888.7,630760.3,2445045.79
DEALOGIC LIMITED,Americas,178447.31,287944.85,296166.87,316681.03,229777.05,305479.6,305348.63,395974.31,237117.15,319456.5,219920.58,3092313.88
DEALOGIC LIMITED,APAC,45561.79,59780.06,66466.96,73167.08,36767.6,52880.49,62679.86,75310.43,119294.8,55383.71,60074.97,707367.75
DEALOGIC LIMITED,EMEA,317832.64,301171.36,338746.46,337567.87,257398.61,337351.53,251103.21,352614.48,337828.33,372696.52,477136.16,3681447.17
DEARBORN NATIONAL LIFE INSURANCE COMPANY,Americas,303792.42,395863.65,380321.43,486542.89,296936.22,420499.34,425718.25,360314.05,300295.03,345208.19,345695.86,4061187.33
"DEBORAH WOOD ASSOCIATES, INC. (DWA HEALTHCARE COMMUNICATIONS GROUP)",Americas,885327.42,1928363.89,1047432.65,1398052.91,1136554.4,1252838.47,648606.77,811018.52,486196.92,708645.61,415211.26,10718248.82
DECHERT LLP,Americas,2841568.72,3353790.62,2597479.48,3982369.37,2774609.67,3948899.16,3179669.68,3531971.35,3249842.09,3635023.01,3059831.67,36155054.82
DECHERT LLP,APAC,108995.89,189990.18,165703.19,154589.18,139721.7,163469.32,154836.26,159943.54,127665.37,209676.4,133048.95,1707639.98
DECHERT LLP,EMEA,1109338.27,1203289.42,930042.87,1410747.81,1227948.58,1139849.58,1047421.5,1305223.38,1271469.9,1080458.58,928348,12654137.89
DECHRA TPE,Americas,39451.12,67645.15,42586.41,28241.5,55219.09,47271.58,18597.22,51503.18,73273.82,97055.92,20158.92,541003.91
DECHRA TPE,EMEA,313266.84,683879.01,210902.9,449478.75,396009.89,734174.19,316236.78,494847.97,439294.54,668240.84,306742.42,5013074.13
"DECKER COMMUNICATIONS, INC",Americas,128211.89,179898.65,151545.08,206593.35,115307.6,139299.77,137354.02,176829.76,95319.22,136375.73,132627.9,1599362.97
DEEP BLUE COMMUNICATIONS LLC,Americas,207517.24,159843.7,242174.19,292777.05,217987.75,289441.74,191142.24,232880.07,197770.68,240518.1,164519.15,2436571.91
DEEP EDDY VODKA,Americas,533327.24,557802.24,488424.06,395307.57,359742.79,689317.94,739818.17,792410.51,766695.65,917893.02,788674.49,7029413.68
DEER MANAGEMENT CO. LLC,Americas,248197.71,377722.22,349527.85,437245.69,281956.73,323635.65,368941.26,377809.83,270514.73,245811.29,275979.49,3557342.45
"DEERFIELD MANAGEMENT COMPANY, L.P.",Americas,1592885.47,805622.16,609740.38,903738.2,661407.14,810038.82,627601.91,823074.38,894323.5,933959.49,413696.95,9076088.4
DEFENDER DIRECT - CTE,Americas,1730242.86,1855390.64,978043.89,767138.21,827114.87,1232310.13,855492.15,1090478.48,925616.37,1095080.07,1519425.5,12876333.17
"DEFY MEDIA, LLC",Americas,543301.28,903483.7,1323049.93,1312973.2,1740387.97,1985117.19,1490703.42,1067859.73,927628.24,1029397.05,1106060.53,13429962.24
"DEI HEADQUARTERS, INC.",Americas,270389.31,232684.91,241898.58,286221.58,275863.5,309238.93,460443.7,447392.7,409984.95,674563.82,657654.97,4266336.95
"DEI HEADQUARTERS, INC.",EMEA,0,2253.43,5371.17,2538.53,3216.86,4987.81,3595.89,1940.29,2652.61,95.21,0,26651.8
"DEI SALES, INC",Americas,320724.84,399794.35,501783.62,397845.95,258618.87,368521.79,352817.29,356159.26,242244.38,300069.5,273714.23,3772294.08
"DEKRA AMERICA, INC.",Americas,535751.94,762539.77,658488.81,701871.19,721094.23,741928.57,734614.25,673593.82,636666.36,1066373.83,1306509.03,8539431.8
"DEKRA AMERICA, INC.",APAC,0,0,0,0,0,0,0,0,0,0,4900,4900
DEL MAR COLLEGE DISTRICT,Americas,123369.09,222611.42,191762.61,176577.68,105399.68,175380.37,182412.38,226817.54,130297.97,212266.01,155858.01,1902752.76
"DELHAIZE AMERICA SHARED SERVICES GROUP, LLC.",Americas,3289075.45,3966737.07,4031516.91,4498286.72,3297386.06,3983068.29,4263195.98,4316594.04,3636743.55,4415731.76,4148826.94,43847162.77
DELL COMPUTER CORPORATION,Americas,54444453.28,59159000.9,54689695.33,54897747.32,58022206.37,59090476.72,56077701.9,56498329.78,54212387.21,56665370.22,53211382.29,616968751.3
DELL COMPUTER CORPORATION,APAC,16949931.98,19459550.53,16064791.89,18020337.56,16938088.83,20935256.54,18104921.27,19221745.37,17934839.03,18462339.91,18793254.38,200885057.3
DELL COMPUTER CORPORATION,EMEA,13282782.84,14876867.95,11729633.67,15089348.68,16140520.1,15160672.36,12197484.87,14687904.17,15143118.52,14015006.83,13549592.8,155872932.8
DELOITTE SERVICES PTY LTD FOR DELOITTE,APAC,12758641.21,20580220.29,13050658.08,16168508.71,12210898.35,22535627.04,14982125.84,19056447.22,15354109.11,26350529.7,17984161.83,191031927.4
DELOS LIVING LLC,Americas,408274.77,572311.94,517088.33,711486.15,594436.67,312713.7,408894.97,605003.67,571892.31,839999.14,782680.11,6324781.76
DELPHI AUTOMOTIVE SYSTEMS LLC,Americas,12931637.22,14772719.83,12063766.69,11651403.32,11376846.32,12419106.61,11748753.24,12044715.15,12225786.47,13762620.26,13886896.82,138884251.9
DELPHI AUTOMOTIVE SYSTEMS LLC,APAC,0,378780.04,1144025.28,1986747.64,2453792.66,2657906.25,2670182.71,2970889.23,1835856.18,2742673.53,3919284.29,22760137.81
DELPHI AUTOMOTIVE SYSTEMS LLC,EMEA,1898506.9,2410865.87,2467999.86,3974697.23,4480738.21,5745799.48,5097036.03,5069042.99,5180851.9,6580598.25,6025241.17,48931377.89
DELTA CAREER EDUCATION CORP,Americas,597169.99,592193.05,508625.43,453216.46,433774.27,513945.64,403782.82,371583.75,355172.85,397524.71,340290.2,4967279.17
DELTA DENTAL OF MISSOURI,Americas,124684.6,161270.18,205836.92,193427.13,138375.53,209870.54,166077.86,224040.24,176737.64,247898.84,190479.13,2038698.61
DELTA GALIL USA,Americas,671042.07,828049.03,867026.22,1079626.59,999352.34,719486.49,802591.82,1327209.31,1405208.76,1311191.85,1489590.66,11500375.14
DELTA PRIVATE JETS INC,Americas,1556170.06,1707426.26,1819874.78,1802651.95,2279495.64,2038066.78,1897514.4,1753092.57,1758939.1,1781952.83,1859085.17,20254269.54
DEMME LEARNING,Americas,123467.11,213118.65,163202.59,155442.78,107465.52,168122.31,174622.8,137983.82,201145.88,219723.64,188775.84,1853070.94
"DENA CO., LTD.",Americas,0,0,0,282.22,33869.82,31659.36,38946.67,22269.49,3256.38,0,0,130283.94
"DENA CO., LTD.",APAC,718157.78,682120.58,743669.17,655199.85,740767.29,729018.35,794718.85,960783.89,741847.49,741193.53,826199.27,8333676.05
DENALI FEDERAL CREDIT UNION,Americas,5197.19,8997.88,11452.99,15246.1,15706.27,6729.92,11379.56,14481.87,15280.42,10080.77,715.46,115268.43
"DENALI FLAVORS, INC.",Americas,63745.11,103143.98,97995.02,88682.01,84882.41,97302.99,79722.1,99903.8,102409.04,129684.51,87930.74,1035401.71
DEN-MAT HOLDINGS LLC,Americas,364875.68,365288.21,377784.39,295858.04,262663.34,301451.95,283112.1,290130.68,225931.58,211484.92,186131.62,3164712.51
DENNYS INC.,Americas,1717107.98,2009723.15,1935440.89,2314790.99,2052527.11,2039969.94,2034913.64,2027723.65,1869645.84,1988982.81,1917421.77,21908247.77
DENSO INTERNATIONAL EUROPE B.V.,EMEA,2381058.42,1937046.65,1779382.6,2331945.64,1953668.05,1881111.65,1590899.76,2165896.89,2229546.28,1655265.94,1786888.66,21692710.54
"DENSO PRODUCTS AND SERVICES AMERICAS, INC",Americas,615141.64,662056.89,677875.17,764272.7,608576.18,714967.69,676894.3,760085.96,878339.26,902262.19,983766.61,8244238.59
"DEN-TAL-EZ, INC.",Americas,236484.39,265552.94,266604.17,262888.86,223115.89,282554.09,302472.37,328600.33,270009.6,286749.31,252469.75,2977501.7
"DENTZONE COMPANIES, INC.",Americas,414232.53,377237.21,414925.48,396358.47,355389.42,382906.94,374084.66,488778.24,452315.45,442225.4,432123.17,4530576.97
DEPARTMENT OF AGRICULTURE AND WATER RESOURCES,APAC,3722012.03,5402561.85,4840052.55,4606412.58,4416978.58,7339565.48,5049943.03,6534352.24,5360609.53,8181485.2,5690248.2,61144221.27
DEPLOYMENT,Americas,560756.92,834907.33,742751.19,990059.68,750922.4,1104452.24,1034857.86,1040269.23,502980.77,772477.02,813853.97,9148288.61
"DEPOMED, INC.",Americas,1472448.43,1812524.71,2653624.46,2692895.81,2475052.4,2730791.02,2715478.93,2625280.54,2310235.71,2760069.27,2548612.1,26797013.38
"DEPOMED, INC.",EMEA,0,1970.34,2556.56,0,0,0,0,0,0,0,0,4526.9
DEPOSITORY TRUST COMPANY,Americas,3016490.84,3564160.62,4031341.69,4891036.52,4092639.68,4187092.15,3165639.04,3459959.31,2661900.34,3135053.83,2977021.56,39182335.58
DEPOSITORY TRUST COMPANY,APAC,406736.61,592975.16,630886.38,810431.51,477936.75,549757.67,422548.57,580784.45,400414.09,620497.97,528567.18,6021536.34
DEPOSITORY TRUST COMPANY,EMEA,472840.61,640059.11,671039.86,757933.94,582763.93,685934.35,606965.91,608054.42,417650.47,435185.81,412423.32,6290851.73
"DERMA SCIENCES, INC.",Americas,1098744.22,1247850.42,1025089.33,847817.06,642755.55,766886.82,740547.01,914106.12,998976.32,1111903.33,718962.12,10113638.3
DERMALOGICA (UK) LTD,EMEA,190919.49,213785.26,195402.87,167155.33,148686.53,210705.47,159010.81,147912.63,153638.32,177402.5,147484.15,1912103.36
DES-CASE CORPORATION,Americas,211768.55,255662.85,274333.46,279000.13,202549.11,307302.86,201203.6,394504.52,252161.51,351763.28,364091.73,3094341.6
DESERET MUTUAL BENEFIT ADMINISTRATORS,Americas,510096.01,612587.35,569889.83,600484.62,533466.58,521020.51,605489.73,916620.26,508282.21,557288.5,470444.54,6405670.14
DESIGN WITHIN REACH,Americas,631712.76,794898.23,723434.67,1091386.8,842143.61,911605,872043.43,1003856.85,925157.54,950605.52,1064996.21,9811840.62
DESIGN WITHIN REACH,EMEA,0,325.02,277.96,105.64,195.76,177.78,0,67.06,0,0,0,1149.22
DE-STA-CO A DIVISION OF DOVER ENERGY INC,Americas,979920.72,1062825.28,899362.18,1624440.25,1097282.43,1312707.76,941315.8,1120690.53,869855.98,523204.58,610934.04,11042539.55
DESTINATION MATERNITY CORPORATION,Americas,265673.8,1113315.74,961475.94,776005.46,766422.68,755778.43,742552.83,559569.13,524854.21,528131.83,431697.87,7425477.92
"DESTINATION XL GROUP, INC.",Americas,329641.02,327307.27,277338.85,297619.88,307872.35,325953.92,330959.06,339221.41,349169.57,378156.32,313053.07,3576292.72
"DESTINATION XL GROUP, INC.",APAC,0,0,0,0,0,0,0,0,0,2820.59,9065.75,11886.34
"DETROIT TIGERS, INC.",Americas,394307.56,848767.68,689525.4,429770.11,424011.39,932123.94,800664.83,533799.15,476851.59,1042206.82,886012.76,7458041.23
DETROIT ZOOLOGICAL SOCIETY,Americas,467186.39,534475.66,520112.91,714730.69,605709.04,871402.88,583452.94,631755.92,466086.95,597660,527930.52,6520503.9
DEUFOL SUNMAN_US,Americas,23157.48,14730.32,21144.35,36008.39,7186.72,24546.29,25326.59,10112.38,4350.41,11260.99,7585.84,185409.76
DEUTZ CORPORATION,Americas,416849.54,340206.38,422417.4,413981.18,379180.15,442735.22,375921.26,385271.64,480147.03,525804.33,460837.87,4643352
DEVELOPMENTAL STUDIES CENTER,Americas,108121.06,266126.45,217437.64,240688.31,142912.31,106046.78,158213.84,156063.15,182950.22,146951.23,187568.31,1913079.3
DEVICOR MEDICAL PRODUCTS,Americas,811832.25,1071156.81,825532.6,1299287.61,595341.86,650878.04,545935.12,593032.27,532354.12,506421.87,385566.76,7817339.31
DEVICOR MEDICAL PRODUCTS,EMEA,109544.92,134347.45,134845.77,154000.42,111467.39,142153.58,158629.07,143535.87,151267.82,118071.53,83161.88,1441025.7
DEXCO POLYMERS LP,Americas,247684.31,308337.53,301296.39,290382.72,214954.14,289858.21,237828.31,295527.83,208622.55,252417.18,211687.51,2858596.68
"DEXCOM, INC",Americas,1011521.54,1291155.6,1209952.55,1577673.85,1339472.67,1619120.59,1968744.36,2165234.5,1743124.64,2017214.58,2081970.94,18025185.82
"DEXCOM, INC",EMEA,0,0,0,0,0,10691.36,44306.49,80491.08,67749.54,103402.7,109426.16,416067.33
DEXERIALS AMERICA CORPORATION,Americas,151652.68,179465.37,156792.65,169207.61,141388.26,187838.71,176193.15,152040.34,152189.41,149374.57,158517.68,1774660.43
DG3 NORTH AMERICA INC,Americas,150571.83,163166.52,153657.02,180753.38,145827.34,153138.6,108975.11,149236.18,91451.01,123117.15,114227.65,1534121.79
DG3 NORTH AMERICA INC,EMEA,363.38,572.15,573.23,921.79,529.15,877.07,498.52,575.27,330.54,2572.05,196.14,8009.29
DHL GLOBAL FORWARDING (AUSTRALIA) PTY LTD,APAC,199009.16,319011.06,414908.7,337156.32,241036.48,294335.58,236223.17,261050.43,236436.64,277273.94,257120.45,3073561.93
DHL INTERNATIONAL GMBH,Americas,0,0,0,0,8785.68,256581.49,186871.2,1700250.18,6268939.59,7329497.5,8088476.36,23839402
DHL INTERNATIONAL GMBH,APAC,3156800.17,3862101.33,4426904.78,4599853.17,2233874.39,3308582.1,3760008.11,5609698.4,3402332.43,4268577.34,4882066.65,43510798.87
DHL INTERNATIONAL GMBH,EMEA,0,106726,1406214.35,1470355.22,711590.92,1077869.68,1233641.94,1679504.62,1322897.82,1296144.38,1416778.46,11721723.39
DIAGEO GREAT BRITAIN LIMITED,Americas,12597415.57,23227325.38,12922263.47,23374088.6,11548227.76,20941021.39,10594311.3,16158000.23,13346431.3,31734658.2,17212205.32,193655948.5
DIAGEO GREAT BRITAIN LIMITED,APAC,6321099.31,8731551.37,6744327.71,8212501.45,6153377.14,7484481.41,5186990.02,6331782.38,5100183.01,6635062.68,5012861.8,71914218.28
DIAGEO GREAT BRITAIN LIMITED,EMEA,15920627.55,20356170.69,15151168.05,20808200.91,14876121.73,19885686.6,11423388.81,14168416.19,11683043.72,17502247.28,12069234.6,173844306.1
DIAGNOSTICA STAGO CORPORATION,Americas,786747.09,1093094.65,1067516.83,1148862.77,871168.07,1120341.21,924706.62,1012098.7,871388.52,1067982.1,920132.4,10884038.96
DIAGNOSTICA STAGO CORPORATION,EMEA,4080.41,4389.09,3718.59,2684.48,2955.2,2735.93,2650.3,985.55,0,0,0,24199.55
"DIALOGIC, INC.",Americas,363805.05,340839.21,344664.05,337975.09,349248.45,355234.45,350730.69,348500.18,261245.42,250458.9,251172.82,3553874.31
"DIALOGIC, INC.",APAC,62893.83,54943.08,42559.76,54109.49,37074.31,45768.84,50403.91,73226.24,36778.7,47676.95,50805.58,556240.69
"DIALOGIC, INC.",EMEA,162391.75,151122.18,174021.98,241605.47,154402.4,145600.47,158074.65,180495.89,71963.07,80855.28,119574.45,1640107.59
DIALOGUE COMMUNICATIONS LTD,APAC,7481.56,4788.69,10936.22,8142.79,6162.31,10199.59,8076.4,12379.23,4870,4141.11,6305.97,83483.87
DIALOGUE COMMUNICATIONS LTD,EMEA,55175.21,34133.77,39009.31,26610.79,37855.52,41761.73,43303.8,32462.76,46907.87,33653.83,21329.32,412203.91
DIAMABRUSH LLC,Americas,58357.67,50945.54,51854.56,64441.48,90444.29,105538.57,96938.16,103473.18,102156.34,86964.94,67732.93,878847.66
DIAMOND HEALTHCARE CORPORATION,Americas,430292.7,482635.71,417547.84,414973.79,414527.56,732597.07,714789.09,769248.59,818861.21,824777.63,771890.29,6792141.48
DIAMOND PLASTICS CORPORATION,Americas,90768.84,152020.87,139569.72,176172.17,124959.74,108344.72,110883.67,150503.72,82820.95,195212.22,122558.43,1453815.05
DIAMOND RESORTS INTERNATIONAL,Americas,1489297.7,1634173.12,1591046.3,2062774.6,1924048.58,1916350.77,1710058.45,2092590.8,2101097.34,2142824.37,1860532.24,20524794.27
DIAMOND RESORTS INTERNATIONAL,EMEA,112876.08,147571.45,142830.53,166353.17,123529.41,156054.43,101425.85,152168.11,91040.97,104834.37,93017.33,1391701.7
DIASORIN AUSTRALIA PTY LTD,APAC,45772.25,48705.32,50854.59,35351.44,40916.28,33206.08,39817.65,50722.25,42641.99,47569.22,36004.14,471561.21
DIASORIN INC.,Americas,613754.38,603733.53,686394.97,526979.71,532315.61,632941.78,581409.76,823203.33,757219.4,878973.3,885752.12,7522677.89
DIC CORPORATION,APAC,2800802.46,3205979.55,2926890.23,3802204.34,3087331.69,3624975.14,3560757.42,4090208.3,3451236.62,3961092.38,3702187.88,38213666.01
"DICK CLARK PRODUCTIONS, INC",Americas,274351.2,351535.18,368769.94,451570.96,356641.64,476829.21,239021.26,297181.09,289470.25,326675.02,243473.42,3675519.17
